Team,Stadium,Capacity
Arizona Cardinals,State Farm Stadium,63400
Atlanta Falcons,Mercedes Benz Stadium,71000
Baltimore Ravens,M&T Bank Stadium,71008
Buffalo Bills,Highmark Stadium,71608
Carolina Panthers,Bank of America Stadium,74867
Chicago Bears,Soldier Field,61500
Cincinnati Bengals,Paycor Stadium,65515
Cleveland Browns,Huntington Bank Field,67895
Dallas Cowboys,AT&T Stadium,80000
Denver Broncos,Empower Field at Mile High,76125
Detroit Lions,Ford Field,65000
Green Bay Packers,Lambeau Field,81441
Houston Texans,NRG Stadium,72220
Indianapolis Colts,Lucas Oil Stadium,67000
Jacksonville Jaguars,TIAA Bank Field,67246
Kansas City Chiefs,Arrowhead Stadium,76416
Los Angeles Chargers,SoFi Stadium,70240
St. Louis Rams,SoFi Stadium,70240
Los Angeles Rams,SoFi Stadium,70240
Miami Dolphins,Hard Rock Stadium,65326
Minnesota Vikings,U.S. Bank Stadium,66655
New England Patriots,Gillette Stadium,66829
New Orleans Saints,Caesars Superdome,73208
New York Giants,MetLife Stadium,82500
New York Jets,MetLife Stadium,82500
Philadelphia Eagles,Lincoln Financial Field,69596
Pittsburgh Steelers,Acrisure Stadium,68400
San Francisco 49ers,Levi's Stadium,68500
Seattle Seahawks,Lumen Field,69000
Tampa Bay Buccaneers,Raymond James Stadium,69218
Tennessee Titans,Nissan Stadium,69143
Washington Redskins,Commanders Field,62000
San Diego Chargers,San Diego Stadium,71500
Oakland Raiders,Allegiant Stadium,65000
